SpanID;ParentID;StartTimeUnixNano;EndTimeUnixNano;Duration;Log
95feb0adb6fca2ad;2d1d6503278d9348;1674982159225754108;1674982159245844975;20090;"{""log"":""16:49:19.244 ERROR e.s.ExecuteServiceImpl#69 TraceID: 898fbabdd1894463575af052c4cd7982 SpanID: 95feb0adb6fca2ad [ticketExecute][getOrderByIdFromOrderOther][ticket execute error: Order Status Wrong][orderId: 97a93b5e-acbd-4902-a606-ff6d6c9e1eee]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:19.245172095Z""}"
95feb0adb6fca2ad;2d1d6503278d9348;1674982159225754108;1674982159245844975;20090;"{""log"":""16:49:19.235 INFO  e.s.ExecuteServiceImpl#178 TraceID: 898fbabdd1894463575af052c4cd7982 SpanID: 95feb0adb6fca2ad [getOrderByIdFromOrderOther][Execute Service, Get Order]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:19.236124188Z""}"
95feb0adb6fca2ad;2d1d6503278d9348;1674982159225754108;1674982159245844975;20090;"{""log"":""16:49:19.226 INFO  e.s.ExecuteServiceImpl#164 TraceID: 898fbabdd1894463575af052c4cd7982 SpanID: 95feb0adb6fca2ad [Execute Service][Get Order] Getting....\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:19.226623759Z""}"
95feb0adb6fca2ad;2d1d6503278d9348;1674982159225754108;1674982159245844975;20090;"{""log"":""16:49:19.225 INFO  e.c.ExecuteControlller#33 TraceID: 898fbabdd1894463575af052c4cd7982 SpanID: 95feb0adb6fca2ad [executeTicket][Execute][Id: 97a93b5e-acbd-4902-a606-ff6d6c9e1eee]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:19.226502046Z""}"
b6daf9665795c667;b7d1e7c87ea0c135;1674982159229597365;1674982159233720683;4123;"{""log"":""16:49:19.233 WARN  o.s.OrderServiceImpl#361 TraceID: 898fbabdd1894463575af052c4cd7982 SpanID: b6daf9665795c667 [getOrderById][Get Order By ID Fail][Order not found][OrderId: 97a93b5e-acbd-4902-a606-ff6d6c9e1eee]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:19.234334632Z""}"
b6daf9665795c667;b7d1e7c87ea0c135;1674982159229597365;1674982159233720683;4123;"{""log"":""16:49:19.230 INFO  o.c.OrderController#100 TraceID: 898fbabdd1894463575af052c4cd7982 SpanID: b6daf9665795c667 [getOrderById][Get Order By Id][OrderId: 97a93b5e-acbd-4902-a606-ff6d6c9e1eee]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:19.230665771Z""}"
3edc12395d071674;64fbd1c41f96a292;1674982159239670972;1674982159243268222;3597;"{""log"":""16:49:19.243 INFO  o.s.OrderOtherServiceImpl#384 TraceID: 898fbabdd1894463575af052c4cd7982 SpanID: 3edc12395d071674 [getOrderById][Get Order By ID Success][OrderId: 97a93b5e-acbd-4902-a606-ff6d6c9e1eee]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:19.243508003Z""}"
3edc12395d071674;64fbd1c41f96a292;1674982159239670972;1674982159243268222;3597;"{""log"":""16:49:19.240 INFO  o.c.OrderOtherController#103 TraceID: 898fbabdd1894463575af052c4cd7982 SpanID: 3edc12395d071674 [getOrderById][Get Order By Id][Order Id: 97a93b5e-acbd-4902-a606-ff6d6c9e1eee]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:19.240635311Z""}"
41e6f132d779b676;cc5cab869288b05e;1674982178002000000;1674982178216177196;214177;"{""log"":""16:49:38.214 ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 TraceID: 950a9e7e1989eda57078d48616555bc3 SpanID: 41e6f132d779b676 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is java.lang.IllegalStateException: No instances available for ts-seat-service] with root cause\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:38.215061727Z""}"
a6bda80e0e127b53;41e6f132d779b676;1674982178004308349;1674982178211730460;207422;"{""log"":""16:49:38.211 INFO  p.s.PreserveServiceImpl#142 TraceID: 950a9e7e1989eda57078d48616555bc3 SpanID: a6bda80e0e127b53 [preserve][Step 4][Do Order][Travel Date][Date is: 2023-01-29]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:38.211627407Z""}"
a6bda80e0e127b53;41e6f132d779b676;1674982178004308349;1674982178211730460;207422;"{""log"":""16:49:38.168 INFO  p.s.PreserveServiceImpl#100 TraceID: 950a9e7e1989eda57078d48616555bc3 SpanID: a6bda80e0e127b53 [preserve][Step 3][Check tickets num][Tickets Enough]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:38.169156817Z""}"
a6bda80e0e127b53;41e6f132d779b676;1674982178004308349;1674982178211730460;207422;"{""log"":""16:49:38.056 INFO  p.s.PreserveServiceImpl#361 TraceID: 950a9e7e1989eda57078d48616555bc3 SpanID: a6bda80e0e127b53 [getTripAllDetailInformation][Preserve Other Service][Get Trip All Detail Information]\n"",""stream"":""stdout"",""time"":""2023-01-29T08:49:38.056725362Z""}"
